serial,title,category,region,system,mapping_files
SCES-00111,Jumping Flash! 2 (Europe),Games,PAL,PSX,
SLES-02993,Driver 2 - Back on the Streets (Europe) (Disc 1),Games,PAL,PSX,
SLES-12993,Driver 2 - Back on the Streets (Europe) (Disc 2),Games,PAL,PSX,
SLUS-00242,"Crow, The - City of Angels (USA)",Games,NTSC-U,PSX,
SCES-01736,NHL FaceOff 99 (Europe),Games,PAL,PSX,
SLES-00132,Doom (Europe),Games,PAL,PSX,
SLUS-00877,R-Type Delta (USA),Games,NTSC-U,PSX,
SLUS-00922,Dino Crisis (USA),Games,NTSC-U,PSX,
SLUS-01279,Dino Crisis 2 (USA),Games,NTSC-U,PSX,
SCES-00243,Namco Museum Vol. 1 (Europe),Games,PAL,PSX,
SCES-00441,"Carnage Heart (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-03515,"Spec Ops - Covert Assault (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-10974,Resident Evil 2 (Germany) (Disc 2),Games,PAL,PSX,
SCES-02060#,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCES-02060-RUS,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCES-02060/P,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCES-02060/T,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLUS-00922GH,Dino Crisis (USA) (Rev 1),Games,NTSC-U,PSX,
SLES-02193,WCW Mayhem (Europe),Games,PAL,PSX,
SLES-02193#,WCW Mayhem (Europe),Games,PAL,PSX,
SLES-00528,Mortal Kombat Trilogy (Europe),Games,PAL,PSX,
SLES-01721,Street Fighter Collection 2 (Europe),Games,PAL,PSX,
SCES-00061,Twisted Metal (Europe),Games,PAL,PSX,
SLES-00136,Critical Depth (Europe),Games,PAL,PSX,
SCES-01237,"Tekken 3 (Europe, Australia)",Games,PAL,PSX,
SLES-00037,"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00323,Williams Arcade's Greatest Hits (Europe),Games,PAL,PSX,
SLES-02162,Vigilante 8 - 2nd Offense (Europe),Games,PAL,PSX,
SLES-02338,"Mortal Kombat - Special Forces (Europe) (En,Fr,De)",Games,PAL,PSX,
SLES-02529,Resident Evil 3 - Nemesis (Europe),Games,PAL,PSX,
SLES-00286,WWF In Your House (Europe),Games,PAL,PSX,
SCES-00063,ESPN Extreme Games (Europe),Games,PAL,PSX,
SCES-00062,Warhawk - The Red Mercury Missions (Europe),Games,PAL,PSX,
SCED-01640,Racing Special (Europe),Demos,PAL,PSX,
SCED-02492,OPSM Best Racing Game Ever (Europe),Demos,PAL,PSX,
SCES-00400,2Xtreme (Europe),Games,PAL,PSX,
SLES-02088,"Croc 2 (Europe) (En,Fr,De,Es,It,Nl,Sv)",Games,PAL,PSX,
SCUS-94350,Destruction Derby 2 (USA),Games,NTSC-U,PSX,
SCUS-94350-C,Destruction Derby 2 (USA),Games,NTSC-U,PSX,
SLUS-00821,Street Fighter Alpha 3 (USA),Games,NTSC-U,PSX,
SLUS-00821GH,Street Fighter Alpha 3 (USA),Games,NTSC-U,PSX,
SLES-00974,Resident Evil 2 (Germany) (Disc 1),Games,PAL,PSX,
SCUS-94570,Crash Bash (USA),Games,NTSC-U,PSX,
SCUS-94570CE,Crash Bash (USA),Games,NTSC-U,PSX,
SCUS-94597,Cool Boarders 2001 (USA),Games,NTSC-U,PSX,
SLES-00265,Actua Tennis (Europe),Games,PAL,PSX,
SLES-00265#,Actua Tennis (Europe),Games,PAL,PSX,
SLUS-00506,Frogger (USA),Games,NTSC-U,PSX,
SCUS-94496,PlayStation Demo Disc - Shock Your System! (USA) (SCUS-94496),Demos,NTSC-U,PSX,
SLUS 00106,Grand Theft Auto (USA),Games,NTSC-U,PSX,
SLUS-00106,Grand Theft Auto (USA),Games,NTSC-U,PSX,
SLUS-00106CE,Grand Theft Auto (USA),Games,NTSC-U,PSX,
SLUS-00106GH,Grand Theft Auto (USA),Games,NTSC-U,PSX,
SLUS-00789,Grand Theft Auto 2 (USA),Games,NTSC-U,PSX,
SLUS-00789CE,Grand Theft Auto 2 (USA),Games,NTSC-U,PSX,
SLUS-00789GH,Grand Theft Auto 2 (USA),Games,NTSC-U,PSX,
SLUS-90028,Squaresoft on PlayStation 1998 Collector's CD Vol. 1 (USA),Demos,NTSC-U,PSX,
SCES-00120,"Demo One (Version 2) (Europe, Australia)",Demos,PAL,PSX,
SLUS-00846,Grand Theft Auto - Mission Pack 1 - London 1969 (USA),Games,NTSC-U,PSX,
SLUS-00846CE,Grand Theft Auto - Mission Pack 1 - London 1969 (USA),Games,NTSC-U,PSX,
SCED-03675,"PS One Demo Disc 02 (Europe) (En,Fr,De,Es,It)",Demos,PAL,PSX,
SCED-03675#,"PS One Demo Disc 02 (Europe) (En,Fr,De,Es,It)",Demos,PAL,PSX,
SCED-03993,"Magical World of Disney on PlayStation, The (Europe)",Demos,PAL,PSX,
